V,verb,動詞,
Aux,auxiliary verb,助動詞,
P,phrase,句,
A,adjective,形容詞,
Ad,adverb,副詞,
N,noun ,名詞,
cl,clause,節,
N-cl,noun clause,名詞節,
A-cl,adjective clause,形容詞節,
Ad-cl,adverb(ial) clause,副詞節,
VP,verb phrase,動詞句,
NP,noun phrase,名詞句,
AP,adjective phrase,形容詞句,
PrepP,preposition's phrase,前置詞句,
P'sO,preposition's object,前置詞の目的語,
Cvi,complete intransitive V,完全自動詞,Ⅰ文型
Ivi,incomplete intransitive V,不完全自動詞,Ⅱ文型
CVt,complete transitive V,完全他動詞,"Ⅲ, Ⅳ文型"
Ivt,incomplete transitive V,不完全他動詞,Ⅴ文型
pr  ,present,現在形,
p,past,過去形,
pp,past participle,過去分詞,
Ger,gerund,動名詞,
GerP,gerund phrase,動名詞句,
PrtcplP,participle phrase,分詞句,
PrP,Present participle,現在分詞,
inf,infinitive,不定詞,
conj,conjunction,接続詞,
pron/prn,pronoun,代名詞,
RelPrn,relative pronoun,関係代名詞,
RelAd,relative adverb,関係副詞,
PropN,proper noun,固有名詞,
DAr,definite article,定冠詞 (the),
IAr,Indefinite Article,不定冠詞 (a/an),
3sgl.S,(省略),三人称単数主格,
Pos,possessive,所有格,
Ob,objective / accusative,目的格,
RtndOf,retained object,保留目的語,
Rflx,Reflexive,再帰代名詞(--self),
PosPrn,possessive pronoun,所有代名詞,
FS,formal subject,形式主語,
FO,formal object,形式目的語,
